date,direct_burn,direct_burn_kbd,temp_mean_mean,temp_mean_max,temp_mean_std,temp_max_mean,temp_max_max,temp_min_mean,temp_min_min,temp_range_mean,temp_range_max,extreme_heat_sum,very_hot_sum,hot_sum,cooling_degree_days_24_sum,humidity_mean_mean,precipitation_sum,heat_index_mean,heat_index_max,temp_mean_mean_ma3,cooling_degree_days_24_sum_ma3,temp_mean_mean_ma6,cooling_degree_days_24_sum_ma6,temp_mean_lag1,temp_mean_lag2,temp_mean_lag12,month,quarter,month_sin,month_cos,direct_burn_lag1,direct_burn_lag2,direct_burn_lag3,direct_burn_lag12,direct_burn_ma3,direct_burn_ma6,direct_burn_ma12,is_summer,summer_heat,humidity_heat
2013-03-01,368000,368.0,23.668817204301074,27.14166666666667,1.9980163400486868,29.17231182795699,32.23333333333333,17.676612903225806,12.566666666666666,11.495698924731181,13.991666666666669,0,0,0,20.34166666666666,44.01075268817205,6.541666666666667,25.258302447924528,30.009001911561995,20.98560547875064,6.780555555555516,22.38721432838368,30.898611111111112,20.448214285714283,18.83978494623656,21.273118279569893,3,1,1.0,6.123233995736766e-17,294.0,318.0,303.0,377.0,326.6666666666667,374.8333333333333,525.1666666666666,0,0.0,10.416824604000462
2013-04-01,378000,378.0,26.514722222222222,29.625,2.308627085476487,31.688333333333333,35.15,20.816944444444445,17.116666666666667,10.87138888888889,14.775000000000006,0,0,0,80.98333333333332,42.93611111111112,65.425,29.07395422253071,33.93598812814316,23.543917904079194,33.774999999999956,22.04912143710531,20.92222222222222,23.668817204301074,20.448214285714283,26.35972222222222,4,2,0.8660254037844387,-0.4999999999999998,368.0,294.0,318.0,441.0,346.6666666666667,338.0,519.9166666666666,0,0.0,11.384390594135805
2013-05-01,547000,547.0,29.366935483870968,32.416666666666664,2.324017597975311,34.95833333333333,38.86666666666667,23.31478494623656,19.258333333333333,11.643548387096773,14.816666666666666,0,0,0,166.51666666666668,45.083333333333336,2.75,33.783230910903484,35.988549826506144,26.51682497013142,89.28055555555552,23.018240314046764,44.640277777777776,26.514722222222222,23.668817204301074,32.201075268817206,5,2,0.49999999999999994,-0.8660254037844387,378.0,368.0,294.0,559.0,431.0,368.0,518.9166666666666,0,0.0,13.239593413978495
2013-06-01,592000,592.0,32.520833333333336,34.016666666666666,1.0781523991465414,38.48972222222222,40.958333333333336,25.691111111111113,22.64166666666667,12.798611111111112,15.258333333333336,0,0,3,255.625,30.80277777777778,0.0,35.34164276562205,38.74031285555469,29.467497013142175,167.7083333333333,25.226551245946407,87.24444444444445,29.366935483870968,26.514722222222222,33.465833333333336,6,2,1.2246467991473532e-16,-1.0,547.0,378.0,368.0,778.0,505.6666666666667,416.1666666666667,503.4166666666667,1,32.520833333333336,10.01732002314815
2013-07-01,757000,757.0,33.921505376344086,35.36666666666667,0.654898826627653,39.22016129032258,40.31666666666666,27.779838709677417,25.71666666666667,11.440322580645162,13.183333333333337,0,0,5,307.56666666666666,34.583333333333336,0.0,38.570127996911964,41.24421559387712,31.936424731182797,243.2361111111111,27.740171317630995,138.50555555555556,32.520833333333336,29.366935483870968,34.96370967741935,7,3,-0.4999999999999997,-0.8660254037844388,592.0,547.0,378.0,742.0,632.0,489.3333333333333,504.6666666666667,1,33.921505376344086,11.731187275985665
2013-08-01,752000,752.0,33.62715053763441,34.80833333333333,0.6475057834073723,38.855645161290326,40.15833333333333,27.370967741935484,24.8,11.48467741935484,13.350000000000005,0,0,3,298.4416666666667,36.016129032258064,0.5416666666666667,38.51579032188194,40.955759381113786,33.35649641577061,287.21111111111105,29.936660692951012,188.2458333333333,33.921505376344086,32.520833333333336,34.37231182795699,8,3,-0.8660254037844385,-0.5000000000000004,757.0,592.0,547.0,779.0,700.3333333333334,565.6666666666666,502.4166666666667,1,33.62715053763441,12.111197927506069
2013-09-01,658000,658.0,31.74416666666667,34.47500000000001,1.8793673912217785,37.15472222222222,39.79166666666667,25.76,20.966666666666665,11.394722222222223,13.091666666666665,0,0,0,232.32500000000005,38.172222222222224,0.0,36.14297269520095,40.492613549241206,33.097607526881724,279.4444444444444,31.282552270011948,223.5763888888889,33.62715053763441,33.921505376344086,31.638333333333332,9,3,-1.0,-1.8369701987210297e-16,752.0,757.0,592.0,754.0,722.3333333333334,614.0,494.4166666666667,1,31.74416666666667,12.117453842592594
2013-10-01,451000,451.0,27.426075268817204,30.4,1.6007011512544238,33.056451612903224,35.96666666666667,21.57231182795699,18.316666666666666,11.484139784946235,14.558333333333334,0,0,0,106.20833333333334,40.733870967741936,0.08333333333333334,30.124319135528516,34.311293430483566,30.932464157706093,212.32500000000002,31.43444444444445,227.78055555555557,31.74416666666667,33.62715053763441,28.543279569892473,10,4,-0.8660254037844386,0.5000000000000001,658.0,752.0,757.0,599.0,620.3333333333334,626.1666666666666,482.0833333333333,0,0.0,11.171702111515783
2013-11-01,342000,342.0,23.053055555555556,27.566666666666666,2.445930120403131,27.77277777777778,32.44166666666667,18.463888888888892,14.508333333333335,9.30888888888889,11.775,0,0,0,20.383333333333336,58.66944444444445,28.766666666666666,26.57144852047395,30.397043548871913,27.407765830346477,119.63888888888887,30.382131123058542,203.42499999999998,27.426075268817204,31.74416666666667,23.552222222222223,11,4,-0.5000000000000004,0.8660254037844384,451.0,658.0,752.0,367.0,483.6666666666667,592.0,480.0,0,0.0,13.525099621913583
2013-12-01,343000,343.0,18.30510752688172,22.125,2.3322633235281973,23.376075268817203,28.40833333333333,13.591129032258063,10.016666666666667,9.78494623655914,13.233333333333334,0,0,0,0.0,54.24193548387097,5.358333333333333,19.21074041549483,25.829105500511563,22.928079450418156,42.19722222222219,28.01284348864994,160.82083333333335,23.053055555555556,27.426075268817204,19.270967741935483,12,4,-2.4492935982947064e-16,1.0,342.0,451.0,658.0,303.0,378.6666666666667,550.5,483.3333333333333,0,0.0,9.929044614984392
